ts_utc	run_id	model	tokenizer_version	mode	raw_chars	raw_bytes	input_tokens	gen_tokens	n_warmup	n_runs	tokenize_ms_mean	prefill_ms_mean	prefill_ms_p95	ttft_ms_mean	ttft_ms_p95	decode_tok_s_mean	total_ms_mean	total_ms_std	kv_cache_mb_est	peak_alloc_mb	peak_reserved_mb	git_commit	config_sha256
2026-09-01T08:47:57Z	sys_t2b_smoke_smoke	artifacts/models/cpt_t2b_mean_main_seed42	t2b_smoke	raw_prompt	3000	7148	1354	16	3	10	0.9876	21.6733	21.9484	21.2998	21.5183	62.3845	261.7547	1.8081	15.8672	1021.5	1080	a9c971750414dc95911d733d62a92d284138d18b	47749af78a5a338ecdc508f0525104c5ea9b47feefa2dc1ed3a7745b7cdf3605
2026-09-01T08:47:59Z	sys_t2b_smoke_smoke	artifacts/models/cpt_t2b_mean_main_seed42	t2b_smoke	equal_tokens	NA	NA	1024	16	3	10	NA	16.771	16.9986	16.7251	16.8958	61.8534	259.2433	1.9344	12	1006.1	1080	a9c971750414dc95911d733d62a92d284138d18b	47749af78a5a338ecdc508f0525104c5ea9b47feefa2dc1ed3a7745b7cdf3605
2026-09-02T00:49:34Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	raw_prompt	5000	11858	3368	128	20	100	1.6837	51.4186	52.3345	50.8906	51.489	61.7792	2139.2942	277.8213	39.4688	1118.1	1196	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:50:41Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	raw_prompt	10000	23513	6898	128	20	100	3.4013	112.0955	112.9131	111.3315	111.8463	63.7129	2176.8522	443.6436	80.8359	1281.1	1388	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:52:24Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	raw_prompt	20000	46954	13704	128	20	100	7.3418	273.5562	274.9152	272.3516	273.6239	51.0366	2792.6061	302.8224	160.5938	1601.3	1772	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:55:38Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	raw_prompt	40000	94515	27926	128	20	100	16.0952	729.529	734.8696	727.7224	728.4428	36.6765	4190.4516	7.9973	327.2578	2263.7	2552	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:56:40Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	equal_tokens	NA	NA	2048	128	20	100	NA	29.7298	30.0607	29.2225	29.6385	57.9198	2285.6648	399.3459	24	1053.8	2552	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:57:33Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	equal_tokens	NA	NA	4096	128	20	100	NA	57.2997	57.5868	57.0828	57.3143	71.7043	1830.7548	69.1719	48	1149.4	2552	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T00:58:48Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	equal_tokens	NA	NA	8192	128	20	100	NA	131.1811	131.7418	130.5326	130.7308	58.7425	2382.9104	472.1757	96	1340.5	2552	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T01:00:43Z	sys_c0_qwen_v1	artifacts/models/cpt_c0_qwen_main_seed42	c0_qwen	equal_tokens	NA	NA	16384	128	20	100	NA	344.1007	346.9633	344.525	345.9473	48.7651	2958.7192	168.3072	192	1722.7	2552	de6770191c92671038743efdaaa2f6118d40a848	e7641cab14546379487d2012c2ee425723f70aee6f151039fa29cbbe9d8d75bc
2026-09-02T01:01:44Z	sys_t2a_none_v1	artifacts/models/cpt_t2a_none_main_seed42	t2a_none	raw_prompt	5000	11858	3368	128	20	100	1.7397	51.0554	51.7505	50.6982	51.2554	68.8059	1906.259	141.171	39.4688	1066.3	1146	de6770191c92671038743efdaaa2f6118d40a848	d16b19abd7bcc3a331be5d9b1dbcdd8a2487e9d82322c50a73152acc00b3539c
2026-09-02T01:02:52Z	sys_t2a_none_v1	artifacts/models/cpt_t2a_none_main_seed42	t2a_none	raw_prompt	10000	23513	6898	128	20	100	3.3658	111.7177	112.5402	110.7971	111.6166	63.6911	2165.2191	422.3878	80.8359	1229.6	1338	de6770191c92671038743efdaaa2f6118d40a848	d16b19abd7bcc3a331be5d9b1dbcdd8a2487e9d82322c50a73152acc00b3539c
2026-09-02T01:04:31Z	sys_t2a_none_v1	artifacts/models/cpt_t2a_none_main_seed42	t2a_none	raw_prompt	20000	46954	13704	128	20	100	6.9941	273.0896	274.5227	267.6479	273.3276	54.4773	2611.939	183.8589	160.5938	1549.9	1722	de6770191c92671038743efdaaa2f6118d40a848	d16b19abd7bcc3a331be5d9b1dbcdd8a2487e9d82322c50a73152acc00b3539c
